[PHTITLE]INTERNET AND COMPUTER TERMS - Part 1

 [PH-HI]aberration[/PH-HI]    aberración
 [PH-HI]ability[/PH-HI]    capacidad
 [PH-HI]abnormal end (abend)[/PH-HI]    finalización anormal
 [PH-HI]abnormal use[/PH-HI]    utilización anormal
 [PH-HI]abort, to[/PH-HI]    cancelar, abandonar, anular, abortar
 [PH-HI]absolute address[/PH-HI]    dirección absoluta
 [PH-HI]absolute zero[/PH-HI]    cero absoluto
 [PH-HI]absorption[/PH-HI]    absorción
 [PH-HI]ac  powered[/PH-HI]    alimentado por corriente alterna
 [PH-HI]ac  register[/PH-HI]    registro ac
 [PH-HI]acceleration networks[/PH-HI]    redes de aceleración
 [PH-HI]accelerator[/PH-HI]    acelerador/a
 [PH-HI]accelerator board[/PH-HI]    tarjeta aceleradora
 [PH-HI]accentuation[/PH-HI]    acentuación
 [PH-HI]acceptance test[/PH-HI]    prueba de aceptación
 [PH-HI]access[/PH-HI]    acceso
 [PH-HI]access card[/PH-HI]    tarjeta de acceso
 [PH-HI]access code[/PH-HI]    código de acceso
 [PH-HI]access control (ac)[/PH-HI]    control de acceso
 [PH-HI]access key[/PH-HI]    tecla de acceso
 [PH-HI]access menu[/PH-HI]    menú de acceso
 [PH-HI]access right[/PH-HI]    derecho de acceso
 [PH-HI]access time[/PH-HI]    tiempo de acceso
 [PH-HI]access, to[/PH-HI]    acceder
 [PH-HI]accumulator (acc)[/PH-HI]    acumulador
 [PH-HI]accuracy[/PH-HI]    exactitud, precisión
 [PH-HI]acknowledgement[/PH-HI]    acuse de recibo, reconocimiento, señal de respuesta
 [PH-HI]acoustic coupler[/PH-HI]    acoplador acústico
 [PH-HI]acoustic delay line[/PH-HI]    línea de retardo acústica
 [PH-HI]acoustic system[/PH-HI]    sistema acústico
 [PH-HI]acoustic transmission system[/PH-HI]    sistema de transmisión acústica
 [PH-HI]acronym[/PH-HI]    sigla, acrónimo
 [PH-HI]activate directory[/PH-HI]    servicios de directorio avanzados
 [PH-HI]activator[/PH-HI]    activador
 [PH-HI]active[/PH-HI]    activo
 [PH-HI]active circuit[/PH-HI]    circuito activo
 [PH-HI]actuate, to[/PH-HI]    actuar
 [PH-HI]add time[/PH-HI]    tiempo de suma
 [PH-HI]add, to[/PH-HI]    añadir
 [PH-HI]add-in memory[/PH-HI]    memoria adicional
 [PH-HI]add-on[/PH-HI]    adicional, expansión, complemento, agregado
 [PH-HI]add-on equipment[/PH-HI]    equipo complementario añadible
 [PH-HI]add-on products[/PH-HI]    productos complementarios
 [PH-HI]addition record[/PH-HI]    registro de adición
 [PH-HI]address bus[/PH-HI]    bus de direcciones
 [PH-HI]address calculating unit[/PH-HI]    unidad calculadora de direcciones
 [PH-HI]address characters[/PH-HI]    caracteres de dirección
 [PH-HI]address field[/PH-HI]    campo de direcciones
 [PH-HI]addressed memory[/PH-HI]    memoria direccionada
 [PH-HI]addressing[/PH-HI]    direccionamiento
 [PH-HI]addressing mode[/PH-HI]    modo de direccionamiento
 [PH-HI]adjust, to[/PH-HI]    adecuar (una señal)
 [PH-HI]administer, to[/PH-HI]    administrar
 [PH-HI]administrator login[/PH-HI]    administrador de registro
 [PH-HI]advanced computer technology project (actp)[/PH-HI]    proyecto avanzado de tecnología de ordenadores
 [PH-HI]advanced control power interface (acpi)[/PH-HI]    interfaz avanzada para el control de potencia
 [PH-HI]advanced data communication control procedures (adccp)[/PH-HI]    procedimientos avanzados de control de comunicación de datos
 [PH-HI]advanced features[/PH-HI]    características avanzadas
 [PH-HI]aeromagnetic[/PH-HI]    aeromagnético
 [PH-HI]affirmative acknowledgement (ack)[/PH-HI]    respuesta afirmativa
 [PH-HI]agp (accelerated graphics port)[/PH-HI]    puerto de gráficos acelerado
 [PH-HI]alert message[/PH-HI]    mensaje de alerta
 [PH-HI]algebraic logic[/PH-HI]    lógica algebraica
 [PH-HI]algebraic sum[/PH-HI]    suma algebraica
 [PH-HI]algorithm[/PH-HI]    algoritmo
 [PH-HI]algorithmic language (algol)[/PH-HI]    lenguaje basado en algoritmos, lenguaje algorítmico
 [PH-HI]algorithmic process[/PH-HI]    proceso algorítmico
 [PH-HI]align, to[/PH-HI]    alinear
 [PH-HI]alignment[/PH-HI]    alineación
 [PH-HI]alignment pin[/PH-HI]    patilla de alineación, terminal de alineación
 [PH-HI]all rights reserved[/PH-HI]    todos los derechos reservados
 [PH-HI]all-purpose computer[/PH-HI]    ordenador de propósito general
 [PH-HI]allocate, to (memory)[/PH-HI]    asignar (memoria)
 [PH-HI]allocation[/PH-HI]    asignación
 [PH-HI]allocation technique[/PH-HI]    técnica de alineación
 [PH-HI]alpha test[/PH-HI]    prueba alfa
 [PH-HI]alphanumeric[/PH-HI]    alfanumérico
 [PH-HI]alphanumeric display unit[/PH-HI]    unidad de visualización alfanumérico
 [PH-HI]alternate input device[/PH-HI]    dispositivo de entrada alternativo
 [PH-HI]alternating current (ac)[/PH-HI]    corriente alterna
 [PH-HI]alternating voltage[/PH-HI]    tensión alterna
 [PH-HI]alternation[/PH-HI]    alternancia
 [PH-HI]alternator[/PH-HI]    alternador
 [PH-HI]always on top[/PH-HI]    siempre visible
 [PH-HI]amateur radio operator[/PH-HI]    radioaficionado
 [PH-HI]ambient noise[/PH-HI]    ruido ambiente
 [PH-HI]american association for the advancement of science (aaas)[/PH-HI]    asociación americana para el progreso de la ciencia
 [PH-HI]american federation of information processing societies (afips)[/PH-HI]    federación americana de sociedades de tratamiento de información
 [PH-HI]american management association (ama)[/PH-HI]    asociación americana de gestión
 [PH-HI]american morse code[/PH-HI]    código morse americano
 [PH-HI]ampere (a)[/PH-HI]    amperio
 [PH-HI]amperimeter[/PH-HI]    amperímetro
 [PH-HI]ampersand (&)[/PH-HI]    símbolo de unión
 [PH-HI]amplifier[/PH-HI]    amplificador
 [PH-HI]amplify, to[/PH-HI]    amplificar
 [PH-HI]amplitude[/PH-HI]    amplitud
 [PH-HI]amplitude modulation (am)[/PH-HI]    modulación de amplitud
 [PH-HI]analog[/PH-HI]    analógico, analogía
 [PH-HI]analog channel[/PH-HI]    canal analógico
 [PH-HI]analog circuit[/PH-HI]    circuito analógico
 [PH-HI]analog computer[/PH-HI]    ordenador analógico
 [PH-HI]analog mode[/PH-HI]    modo analógico
 [PH-HI]analog mode switch[/PH-HI]    conmutador de modo analógico
 [PH-HI]analog network[/PH-HI]    red analógica
 [PH-HI]analog output[/PH-HI]    salida analógica
 [PH-HI]analog to digital (a/d)[/PH-HI]    analógico a digital
 [PH-HI]analog to digital converter (adc)[/PH-HI]    convertidor analógico-digital
 [PH-HI]analog voltage comparator[/PH-HI]    comparador analógico de tensión
 [PH-HI]analysis[/PH-HI]    análisis
 [PH-HI]analyst[/PH-HI]    analista
 [PH-HI]analyzer[/PH-HI]    analizador
