[PHTITLE]INTERNET AND COMPUTER TERMS - Part 3

 [PH-HI]ram resident[/PH-HI]    residente en memoria
 [PH-HI]random[/PH-HI]    aleatorio
 [PH-HI]random access memory (ram)[/PH-HI]    memoria de acceso aleatorio
 [PH-HI]range[/PH-HI]    rango
 [PH-HI]raw data[/PH-HI]    datos en bruto
 [PH-HI]read out, to be[/PH-HI]    extraídos
 [PH-HI]read, to[/PH-HI]    leer
 [PH-HI]read-only[/PH-HI]    sólo lectura
 [PH-HI]real time[/PH-HI]    tiempo real
 [PH-HI]rearrange, to[/PH-HI]    reorganizar
 [PH-HI]reassign, to[/PH-HI]    reasignar
 [PH-HI]receive data (rd)[/PH-HI]    recepción de datos
 [PH-HI]receive, to[/PH-HI]    recibir
 [PH-HI]receiver[/PH-HI]    receptor
 [PH-HI]record, to[/PH-HI]    registrar
 [PH-HI]recorder[/PH-HI]    registrador
 [PH-HI]recursive[/PH-HI]    recursivo, repetitivo
 [PH-HI]redo, to[/PH-HI]    rehacer
 [PH-HI]redundancy[/PH-HI]    redundancia
 [PH-HI]reference card[/PH-HI]    tarjeta de referencia
 [PH-HI]reference phase[/PH-HI]    fase de referencia
 [PH-HI]reflective light[/PH-HI]    luz reflejada
 [PH-HI]refresh rate[/PH-HI]    velocidad de regeneración
 [PH-HI]refresh, to[/PH-HI]    regenerar (la pantalla), actualizar
 [PH-HI]register[/PH-HI]    registro
 [PH-HI]regulated[/PH-HI]    reglamentados, regulados
 [PH-HI]reinitialize, to[/PH-HI]    reinicializar
 [PH-HI]reinstall, to[/PH-HI]    reinstalar
 [PH-HI]rej (reject)[/PH-HI]    rechazo
 [PH-HI]reject, to[/PH-HI]    rechazar
 [PH-HI]relational database[/PH-HI]    base de datos relacional
 [PH-HI]relational database management system (rdbms)[/PH-HI]    sistema de administración de bases de datos relacionales
 [PH-HI]relay[/PH-HI]    relé
 [PH-HI]release[/PH-HI]    lanzamiento
 [PH-HI]reliability[/PH-HI]    fiabilidad
 [PH-HI]reliable[/PH-HI]    seguro
