abide:abided;abode
arise:arisen;arose
awake:awoken;awoke
be:been;was;being
bear:born/borne;bore
beat:beaten;beat
become:become;became
beget:begotten;begot
begin:begun;began
bend:bent;bent
beseech:besought;besought
bet:bet;bet
bid:bidden;bid
bind:bound;bound
bite:bitten;bit
bleed:bled;bled
blow:blown;blew
break:broken;broke
breed:bred;bred
bring:brought;brought
build:built;built
burn:burnt;burned
burst:burst;burst
buy:bought;bought
cast:cast;cast
catch:caught;caught
choose:chosen;chose
cleave:cloven;cleaved
cling:clung;clung
color:colored;colored;coloring
come:come;came
cost:costed;cost
creep:crept;crept
cut:cut;cut
deal:dealt;dealt
dig:dug;dug
disobey:disobeyed;disobeyed
do:done;did
draw:drawn;drew
dream:dreamed;dreamed
drink:drunk;drank
drive:driven;drove
dwell:dwelt;dwelt
eat:eaten;ate
fall:fallen;fell
feed:fed;fed
feel:felt;felt
fight:fought;fought
find:found;found
flee:fled;fled
fling:flung;flung
fly:flown;flew
forbid:forbidden;forbade
forget:forgotten;forgot
forsake:forsaken;forsook
freeze:frozen;froze
get:gotten;got
gild:gilt;gilded
gird:girt;girded
give:given;gave
go:gone;went
grind:ground;ground
grow:grown;grew
hang:hanged;hung
have:had;had
hear:heard;heard
heave:hove;heaved
hew:hewn;hewed
hide:hidden;hid
hit:hit;hit
hold:held;held
hurt:hurt;hurt
interweave:interwoven;interwove
keep:kept;kept
kneel:knelt;knelt
know:known;knew
lade:laden;laded
lay:laid;laid
lead:led;led
lean:leant;leaned
leap:leapt;leaped
learn:learned;learned
leave:left;left
lend:lent;lent
let:let;let
lie:lain;laid;laying
light:lit;lighted
limit:limited;limited;limiting
lose:lost;lost
make:made;made
may:might;might
mean:meant;meant
meet:met;met
mow:mown;mowed
obey:obeyed;obeyed
play;played;played
pay:paid;paid
put:put;put
quit:quit;quit
read:read;read
rear:reared;reared
rend:rent;rent
rid:rid;rid
ride:ridden;rode
ring:rung;rang
rise:risen;rose
run:run;ran
saw:sawn;sawed
say:said;said
see:seen;saw;seeing
seek:sought;sought
sell:sold;sold
send:sent;sent
set:set;set
sew:sewn;sewed
shake:shaken;shook
shave:shaven;shaved
shear:shorn;sheared
shed:shed;shed
shine:shone;shined
shoe:shod;shod
shoot:shot;shot
show:shown;showed
shrink:shrunken;shrank
shut:shut;shut
sing:sung;sang
sink:sunk;sank
sit:sat;sat
slack:slackened;slacked
slay:slain;slew
sleep:slept;slept
slide:slid;slid
sling:slung;slung
slink:slunk;slunk
slit:slit;slit
smell:smelled;smelled
smite:smitten;smote
sneak:sneaked:snuck
sow:sown;sowed
speak:spoken;spoke
speed:sped;sped
spell:spelled;spelled
spend:spent;spent
spill:spilt;spilled
spin:spun;span
spit:spat;spat
split:split;split
spoil:spoiled;spoiled
spread:spread;spread
spring:sprung;sprang
stand:stood;stood
stave:staved;stove
steal:stolen;stole
stick:stuck;stuck
sting:stung;stung
stink:stunk;stank
strew:strewn;strewed
stride:stridden;strode
strike:stricken;struck
string:strung;strung
strive:striven;strove
swear:sworn;swore
sweep:swept;swept
swell:swollen;swelled
swim:swum;swam
swing:swung;swung
take:taken;took
teach:taught;taught
tear:torn;tore;tearing
tell:told;told
think:thought;thought
thrive:thriven;thrived
throw:thrown;threw;throwing
thrust:thrust;thrust
tread:trodden;trod
wake:woken;woke
wear:worn;wore
weave:woven;wove
weep:wept;wept
win:won;won
wind:wound;wound
wring:wrung;wrung
write:written;wrote
mix:mixed;mixed;mixing
fix:fixed;fixed;fixing
